experiment,subject,first_type,pitch,ioi,tempo,tempo_range,loudness,type,true_score,response,rt,error,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,illusory_tempo,cooks
ITST,110,p,4,550,109.0909090909091,3,2,a,50.0,47,1225.6849999974947,-3.0,5,167,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-6.672314465637484,-11.275606757361126,0.0008401564200889965
ITST,110,p,5,710,84.50704225352112,2,1,a,31.580629700998873,22,798.7950000024866,-9.580629700998873,5,168,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-9.873074116336522,-16.68460049288986,0.003006932645958237
ITST,110,p,6,918,65.359477124183,1,1,a,13.046873249910696,7,1423.8550000009127,-6.046873249910696,5,169,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-2.938458280170373,-4.965728190832091,0.0007449965768763285
ITST,110,p,3,425,141.1764705882353,4,0,a,68.5984388693479,84,1389.8649999974295,15.401561130652098,5,170,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,8.316518352567897,14.054162317568931,0.0023238921224015318
ITST,110,p,2,843,71.17437722419929,1,0,a,19.194949373496982,6,2122.6600000008475,-13.194949373496982,5,171,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-11.214678201278325,-18.95178981134591,0.006440146272283503
ITST,110,p,3,599,100.1669449081803,3,2,a,43.84378078116181,48,2475.094999994384,4.156219218838189,5,172,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,1.6135427713885377,2.7267410536564904,5.685677401327207e-05
ITST,110,p,7,1000,60.0,1,2,a,6.875176187496734,23,1608.6400000059512,16.124823812503266,5,173,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,20.365716913806402,34.41621590745566,0.028519695266102246
ITST,110,p,5,358,167.5977653631285,5,1,a,80.97360155738828,88,1184.8050000043586,7.026398442611722,5,174,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-2.3294299843805675,-3.9365255651468574,0.00010927654044897241
ITST,110,p,2,425,141.1764705882353,4,2,a,68.5984388693479,86,3121.654999995372,17.401561130652098,5,175,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,10.316518352567897,17.433981064251412,0.003490541634761315
ITST,110,p,4,843,71.17437722419929,1,1,a,19.194949373496982,28,734.7749999971129,8.805050626503018,5,176,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,10.785321798721675,18.226216402161356,0.005004995031087902
ITST,110,p,2,550,109.0909090909091,3,0,a,50.0,48,2458.0550000029616,-2.0,5,177,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-5.672314465637484,-9.585697384019888,0.0006018442805947613
ITST,110,p,7,463,129.58963282937364,4,0,a,62.42097125758927,69,1735.6450000004843,6.579028742410728,5,178,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,0.6275229652528083,1.0604569409676095,2.6559638015036183e-05
ITST,110,p,6,710,84.50704225352112,2,0,a,31.580629700998873,43,3799.1000000038175,11.419370299001127,5,179,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,11.126925883663478,18.803496347276162,0.00351127835281573
ITST,110,p,5,463,129.58963282937364,4,2,a,62.42097125758927,83,2233.809999997728,20.579028742410728,5,180,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,14.627522965252808,24.71918816774496,0.005467123130257245
ITST,111,a,4,599,100.1669449081803,3,1,a,43.84378078116181,45,9618.120000000112,1.1562192188381886,0,1,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,3.522582191055939,5.315449950250842,0.0004724451622468344
ITST,111,a,7,390,153.84615384615384,4,2,a,74.79787473312055,100,10089.275000000023,25.20212526687945,0,2,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,17.495635792925867,26.40028574528095,0.017982812668008597
ITST,111,a,4,358,167.5977653631285,5,2,a,80.97360155738828,100,13206.424999999872,19.026398442611722,0,3,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,9.310249595482574,14.0488320967455,0.0071263632209413305
ITST,111,a,5,652,92.02453987730061,2,1,a,37.727982709047225,22,6762.335000000137,-15.727982709047225,0,4,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-11.371461935195896,-17.15912745235261,0.004178186541755501
ITST,111,a,2,425,141.1764705882353,4,1,a,68.5984388693479,78,8675.11499999999,9.401561130652098,0,5,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,3.7124462502563915,5.601947993247233,0.0008596032430137435
ITST,111,a,5,1000,60.0,1,0,a,6.875176187496734,0,5250.225000000035,-6.875176187496734,0,6,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,7.521236825622836,11.349276111169335,0.005882014741391537
ITST,111,a,3,329,182.370820668693,5,0,a,87.06720173383901,100,9486.185000000172,12.932798266160987,0,7,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,1.2337150925219191,1.8616317438440173,0.00044403055742088765
ITST,111,a,7,843,71.17437722419929,1,2,a,19.194949373496982,7,13973.944999999949,-12.194949373496982,0,8,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-1.807545884787217,-2.727521790056013,0.00019462358926181073
ITST,111,a,3,463,129.58963282937364,4,2,a,62.42097125758927,73,3478.814999999944,10.579028742410728,0,9,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,6.900139709388256,10.412062880496526,0.0019993778740236517
ITST,111,a,7,599,100.1669449081803,3,2,a,43.84378078116181,23,2500.2649999998976,-20.84378078116181,0,10,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-18.47741780894406,-27.8817595293282,0.00971804932868215
ITST,111,a,3,1000,60.0,1,0,a,6.875176187496734,0,3886.675000000221,-6.875176187496734,0,11,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,7.521236825622836,11.349276111169335,0.005882014741391537
ITST,111,a,5,550,109.0909090909091,3,2,a,50.0,50,6327.185000000114,0.0,0,12,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,0.3630516198039899,0.5478318488424336,2.3006398655261495e-05
ITST,111,a,2,843,71.17437722419929,1,1,a,19.194949373496982,5,5866.375000000058,-14.194949373496982,0,13,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-3.807545884787217,-5.745449924563198,0.0009219340977067029
ITST,111,a,6,774,77.51937984496124,2,0,a,25.354902613380577,21,2899.394999999902,-4.3549026133805775,0,14,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,4.027974425388109,6.0780686717270935,0.0009481044907134788
ITST,111,a,5,329,182.370820668693,5,0,a,87.06720173383901,100,3780.289999999688,12.932798266160987,0,15,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,1.2337150925219191,1.8616317438440173,0.00044403055742088765
ITST,111,a,3,599,100.1669449081803,3,2,a,43.84378078116181,24,8180.275000000198,-19.84378078116181,0,16,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-17.47741780894406,-26.372795462074606,0.00866970660011964
ITST,111,a,5,425,141.1764705882353,4,2,a,68.5984388693479,65,3985.860000000219,-3.598438869347902,0,17,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-9.287553749743608,-14.01458488104947,0.003046041409586474
ITST,111,a,6,329,182.370820668693,5,1,a,87.06720173383901,100,2468.914999999921,12.932798266160987,0,18,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,1.2337150925219191,1.8616317438440173,0.00044403055742088765
ITST,111,a,2,504,119.04761904761905,3,2,a,56.30039424560527,57,8974.665000000154,0.6996057543947316,0,19,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-0.9875703497070134,-1.4902081715929478,3.913790118382298e-06
ITST,111,a,6,463,129.58963282937364,4,0,a,62.42097125758927,63,3428.6849999999395,0.5790287424107277,0,20,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-3.099860290611744,-4.677577792039401,0.0001968844351864178
ITST,111,a,3,774,77.51937984496124,2,1,a,25.354902613380577,26,2123.429999999702,0.6450973866194225,0,21,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,9.02797442538811,13.622889007995056,0.0045239613432207105
ITST,111,a,6,550,109.0909090909091,3,1,a,50.0,50,7551.705000000307,0.0,0,22,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,0.3630516198039899,0.5478318488424336,2.3006398655261495e-05
ITST,111,a,2,710,84.50704225352112,2,2,a,31.580629700998873,22,2278.320000000298,-9.580629700998873,0,23,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-3.2236827515114115,-4.864421436255912,0.0003655060008794959
ITST,111,a,7,329,182.370820668693,5,1,a,87.06720173383901,90,5891.710000000312,2.9327982661609866,0,24,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-8.76628490747808,-13.228008928691908,0.005037073846898023
ITST,111,a,4,1000,60.0,1,1,a,6.875176187496734,0,3807.450000000186,-6.875176187496734,0,25,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,7.521236825622836,11.349276111169335,0.005882014741391537
ITST,111,a,2,329,182.370820668693,5,0,a,87.06720173383901,100,10204.874999999884,12.932798266160987,0,26,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,1.2337150925219191,1.8616317438440173,0.00044403055742088765
ITST,111,a,4,390,153.84615384615384,4,1,a,74.79787473312055,74,2914.970000000205,-0.7978747331205511,0,27,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,-8.504364207074133,-12.832780003312457,0.0030909894485947513
ITST,111,a,7,774,77.51937984496124,2,1,a,25.354902613380577,23,2855.555000000051,-2.3549026133805775,0,28,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,6.027974425388109,9.095996806234279,0.002059248474244625
ITST,111,a,6,1000,60.0,1,1,a,6.875176187496734,0,2521.000000000233,-6.875176187496734,0,29,6,0,0,68.0,0.9621991587207797,49.63694838019601,66.27063040805614,7.521236825622836,11.349276111169335,0.005882014741391537
