subject,pitch,ioi,tempo,loudness,tap_condition,key_press,tap_times,true_score,response,rt,error,tapped,tap_type,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,cooks
1,4,918,1,0,False,,,13.04687,14.0,2016.364999988582,0.9531299999999998,False,0,0,27,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-1.9517362245360168,0.0012077957745963213
1,3,425,4,2,False,,,68.59844,58.0,2534.990000014659,-10.598439999999997,False,0,0,28,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-7.544191582061771,0.0037753337972053908
1,4,504,3,0,False,,,56.30039,50.0,642.5000000162981,-6.30039,False,0,0,29,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-4.565378974583837,0.0009857194830873194
1,3,1000,1,2,False,,,6.87518,20.0,1952.9900000197813,13.12482,False,0,0,30,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,9.557912470960753,0.015910884146134133
1,4,652,2,1,False,,,37.72798,37.0,2331.145000003744,-0.7279800000000023,False,0,1,31,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-0.9852613894535125,7.278945677460844e-05
1,7,918,1,0,False,,,13.04687,13.0,1418.2350000482984,-0.04687000000000019,False,0,1,32,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-2.951736224536017,0.0022784988440567038
1,6,652,2,1,False,,,37.72798,36.0,1896.805000025779,-1.7279800000000023,False,0,1,33,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-1.9852613894535125,0.0002798935350921014
1,3,918,1,0,False,,,13.04687,22.0,2235.3499999735504,8.95313,False,0,1,34,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,6.048263775463983,0.0047732600589974845
1,7,652,2,2,False,,,37.72798,38.0,2741.5000000037253,0.2720199999999977,False,0,1,35,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,0.014738610546487507,1.1110788605730403e-07
1,4,329,5,2,False,,,87.0672,93.0,2026.045000005979,5.9328,False,0,1,36,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,10.96822093677578,0.025272980584426452
1,3,774,2,1,False,,,25.3549,29.0,3797.3149999743327,3.6450999999999993,False,0,1,37,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,2.060537508151981,0.00029088910484540136
1,7,550,3,2,False,,,50.0,41.0,8407.944999984466,-9.0,False,0,1,38,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-7.940838660086122,0.003235108331965698
1,2,652,2,0,False,,,37.72798,31.0,20187.56500002928,-6.727980000000002,False,0,1,39,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-6.9852613894535125,0.0033317998681136923
1,4,550,3,2,False,,,50.0,37.0,7032.250000047497,-13.0,False,0,1,40,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-11.940838660086122,0.007493990685557998
1,2,918,1,2,False,,,13.04687,12.0,2052.235000010114,-1.0468700000000002,False,0,1,41,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-3.951736224536017,0.0036861766035194256
1,5,504,3,0,False,,,56.30039,71.0,1993.8550000078976,14.69961,False,0,1,42,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,16.434621025416163,0.016582398948387003
1,2,358,5,1,False,,,80.9736,84.0,1746.8099999823608,3.0263999999999953,False,0,1,43,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,7.408150331160073,0.009675864645663201
1,6,843,1,2,False,,,19.19495,24.0,2805.2199999801815,4.805050000000001,False,0,1,44,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,2.5597021607947177,0.00053215467894272
1,2,599,3,0,False,,,43.84378,38.0,1554.6999999787658,-5.843780000000002,False,0,1,45,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-5.4450074737450365,0.0016550897192335926
1,5,463,4,0,False,,,62.42097,73.0,1398.494999972172,10.579030000000003,False,0,1,46,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,12.97060864620591,0.012410130952464746
1,6,504,3,0,False,,,56.30039,55.0,2763.2050000247546,-1.3003900000000002,False,0,1,47,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,0.4346210254161633,4.54177158802813e-05
1,2,463,4,0,False,,,62.42097,67.0,2441.110000014305,4.579030000000003,False,0,1,48,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,6.9706086462059105,0.003869089262726768
1,3,504,3,1,False,,,56.30039,67.0,2254.060000006575,10.69961,False,0,1,49,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,12.434621025416163,0.009655875513464715
1,6,463,4,2,False,,,62.42097,73.0,2813.2499999483116,10.579030000000003,False,0,1,50,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,12.97060864620591,0.012410130952464746
1,7,302,5,2,False,,,93.24415,86.0,1139.2699999851175,-7.244150000000005,False,0,1,51,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-1.5461187407671417,1.8658370386181273e-06
1,4,425,4,0,False,,,68.59844,68.0,1284.7749999491498,-0.5984399999999965,False,0,1,52,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,2.455808417938229,0.0008662857083299953
1,5,358,5,0,False,,,80.9736,95.0,1345.0549999834038,14.026399999999995,False,0,1,53,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,18.408150331160073,0.050740896605093705
1,7,390,4,2,False,,,74.79787,82.0,1658.4949999814853,7.202129999999997,False,0,1,54,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,10.921396509150952,0.014727124106765155
1,6,302,5,1,False,,,93.24415,75.0,1925.8000000263564,-18.244150000000005,False,0,1,55,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-12.546118740767142,0.0260663654822917
1,4,843,1,1,False,,,19.19495,13.0,1761.7500000051223,-6.194949999999999,False,0,1,56,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-8.440297839205282,0.01076293333515806
1,3,358,5,1,False,,,80.9736,77.0,7120.2850000117905,-3.9736000000000047,False,0,1,57,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,0.4081503311600727,0.0003103545528211926
1,5,774,2,1,False,,,25.3549,23.0,3611.6349999792874,-2.3549000000000007,False,0,1,58,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-3.939462491848019,0.0019584000424087075
1,3,390,4,1,False,,,74.79787,77.0,2152.529999963008,2.202129999999997,False,0,1,59,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,5.921396509150952,0.004934852857695216
1,5,918,1,2,False,,,13.04687,21.0,2695.9849999984726,7.95313,False,0,1,60,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,5.048263775463983,0.0031481656084391516
1,5,390,4,2,False,,,74.79787,72.0,2588.5049999924377,-2.797870000000003,False,0,2,61,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,0.9213965091509522,0.0003664028729590076
1,4,1000,1,2,False,,,6.87518,17.0,1503.8349999813363,10.12482,False,0,2,62,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,6.557912470960753,0.006800457575739638
1,7,358,5,0,False,,,80.9736,71.0,2640.475000021979,-9.973600000000005,False,0,2,63,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-5.591849668839927,0.002662211551301932
1,6,774,2,0,False,,,25.3549,27.0,1985.4899999918416,1.6450999999999993,False,0,2,64,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,0.060537508151981,1.143087038064278e-05
1,3,843,1,1,False,,,19.19495,17.0,2874.6549999923445,-2.1949499999999986,False,0,2,65,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-4.440297839205282,0.0033213006688254734
1,6,358,5,2,False,,,80.9736,74.0,2703.159999975469,-6.973600000000005,False,0,2,66,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-2.5918496688399273,0.0002886556969008388
1,7,463,4,0,False,,,62.42097,63.0,1757.030000037048,0.579030000000003,False,0,2,67,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,2.9706086462059105,0.0008645262916531968
1,6,918,1,0,False,,,13.04687,7.0,1159.5150000066496,-6.04687,False,0,2,68,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-8.951736224536017,0.015779185750868126
1,2,774,2,1,False,,,25.3549,28.0,1866.6200000443496,2.6450999999999993,False,0,2,69,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,1.060537508151981,4.674808590645615e-05
1,3,550,3,0,False,,,50.0,40.0,2752.295000012964,-10.0,False,0,2,70,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-8.940838660086122,0.004134550339948047
1,2,390,4,1,False,,,74.79787,26.0,28770.674999977928,-48.79787,False,0,2,71,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-45.07860349084905,0.2034383567359244
1,7,774,2,1,False,,,25.3549,31.0,3879.8599999863654,5.645099999999999,False,0,2,72,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,4.060537508151981,0.0014056425529626875
1,2,1000,1,1,False,,,6.87518,26.0,3220.8100000279956,19.12482,False,0,2,73,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,15.557912470960753,0.04557596722127886
1,4,302,5,1,False,,,93.24415,74.0,2599.114999989979,-19.244150000000005,False,0,2,74,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-13.546118740767142,0.03097740215300173
1,2,504,3,1,False,,,56.30039,56.0,4389.474999974482,-0.30039000000000016,False,0,2,75,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,1.4346210254161633,0.00020639212828832447
1,4,390,4,2,False,,,74.79787,73.0,1533.9599999715574,-1.7978700000000032,False,0,2,76,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,1.9213965091509522,0.0008621871687595509
1,2,329,5,0,False,,,87.0672,80.0,6305.27000001166,-7.0672,False,0,2,77,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-2.0317790632242207,9.400332011714732e-05
1,4,599,3,1,False,,,43.84378,35.0,2462.0750000467524,-8.843780000000002,False,0,2,78,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-8.445007473745036,0.004040209884945584
1,5,652,2,0,False,,,37.72798,43.0,3363.825000007637,5.272019999999998,False,0,2,79,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,5.0147386105464875,0.0016531053048774282
1,6,599,3,1,False,,,43.84378,48.0,1941.5850000223145,4.156219999999998,False,0,2,80,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,4.5549925262549635,0.001266176764441352
1,3,463,4,0,False,,,62.42097,60.0,6818.169999984093,-2.420969999999997,False,0,2,81,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-0.029391353794089525,2.307309494268592e-05
1,5,599,3,2,False,,,43.84378,61.0,4906.994999968447,17.156219999999998,False,0,2,82,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,17.554992526254964,0.01815201139764788
1,7,843,1,2,False,,,19.19495,27.0,1715.3849999886006,7.805050000000001,False,0,2,83,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,5.559702160794718,0.0033239665960835938
1,3,329,5,2,False,,,87.0672,82.0,5829.909999971278,-5.0672,False,0,2,84,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-0.03177906322422075,0.00026418431188342473
1,4,774,2,2,False,,,25.3549,25.0,4770.250000001397,-0.35490000000000066,False,0,2,85,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-1.939462491848019,0.0005672678495684115
